date,username,to,replies,retweets,favorites,tweet,geo,mentions,hashtags,id,permalink
2019-08-26 19:50:55,taylorswift13,,1496,3028,33305,Just wanna lift you up and not let you go pic.twitter.com/A3UPmodaU1,,,,1166075573153783815,https://twitter.com/taylorswift13/status/1166075573153783815
2019-08-26 19:43:06,taylorswift13,,1564,3033,31949,"Barefoot in the kitchen, sacred new beginnings that became my religion. Listen. pic.twitter.com/AojqFASa3A",,,,1166073605807120384,https://twitter.com/taylorswift13/status/1166073605807120384
2019-08-26 17:31:40,taylorswift13,,1947,8903,78249,"Ever since I saw Fleabag, I’ve been all ‘I can’t wait to see this woman host @nbcsnl’ and it’s happening now + I get to be there too = I am in shambles. Oct 5th pic.twitter.com/VcZeuXWKuc",,@nbcsnl,,1166040528443662338,https://twitter.com/taylorswift13/status/1166040528443662338
2019-08-25 21:03:39,taylorswift13,,1013,6306,48555,I think we *all* know how I feel about sequins @StellaMcCartney New pieces are being added to the online store every day so keep checking back: https://store.taylorswift.com pic.twitter.com/SsLhOIcHPY,,@StellaMcCartney,,1165731487918018560,https://twitter.com/taylorswift13/status/1165731487918018560
2019-08-25 19:47:11,taylorswift13,,2066,3965,43551,I get mystified by how this city screams your name.pic.twitter.com/l2d5C1vLMX,,,,1165712242068865025,https://twitter.com/taylorswift13/status/1165712242068865025
2019-08-25 19:38:14,taylorswift13,,2095,5944,64845,I’m crazier for you than I was at sixteen. pic.twitter.com/VAGsMMUmcW,,,,1165709990826598402,https://twitter.com/taylorswift13/status/1165709990826598402
2019-08-25 19:33:03,taylorswift13,,1507,3588,40684,"I want to drive away with you, I want your complications too pic.twitter.com/dnL2iBHZhW",,,,1165708688092516358,https://twitter.com/taylorswift13/status/1165708688092516358
2019-08-25 19:25:09,taylorswift13,,1625,4599,49250,I’m with you even if it makes me blue pic.twitter.com/RuLE1qOlWt,,,,1165706699111419904,https://twitter.com/taylorswift13/status/1165706699111419904
2019-08-25 19:15:08,taylorswift13,,2014,4220,43440,"Honey without all the exes fights and flaws, we wouldn’t be standing here so tall. pic.twitter.com/S75cgE07A0",,,,1165704176711667712,https://twitter.com/taylorswift13/status/1165704176711667712
2019-08-25 19:06:21,taylorswift13,,2118,4520,47109,You know I adore you pic.twitter.com/YWgZM20Dco,,,,1165701966082793473,https://twitter.com/taylorswift13/status/1165701966082793473
2019-08-24 22:58:16,taylorswift13,,1765,8630,67823,Stopped by the NYC pop up shop to celebrate Lover with the people who have made this week so insanely fun. Shout out to @CapitalOne for making the shop so NICE Love you guys so much! EVERYONE LOOKS SO CUTE IN THEIR STELLAxTS MERCHpic.twitter.com/6aGjEkydTB,,@CapitalOne,,1165397943437996032,https://twitter.com/taylorswift13/status/1165397943437996032
